name,addr:street,addr:city,phone,website,latitude,longitude,source_place
Chanakya Hostel,,,,,27.7075443,85.3245184,"Kathmandu, Nepal"
Antique Hostel,,,,,27.7130133,85.3091872,"Kathmandu, Nepal"
Ananda Boys Hostel,,,,,27.6810331,85.333958,"Kathmandu, Nepal"
Raica Boys Hostel Block B,,,,,27.6839548,85.3350168,"Kathmandu, Nepal"
Skyline girls hostle,,,,,27.6883561,85.3316672,"Kathmandu, Nepal"
Daju Bhai Boys Hostel,,,,,27.7044703,85.3345335,"Kathmandu, Nepal"
Gelos Boys Hostel,,,,,27.6859554647588,85.33343932641068,"Kathmandu, Nepal"
Lumbini Boys Hostel,,,,,27.692063721557247,85.32948800181964,"Kathmandu, Nepal"
Bharitya Gorkha Sainik Niwas,,,,,27.717955032738352,85.31066340794273,"Kathmandu, Nepal"
Siddhartha Boys Hostel,,,,,27.68565268290747,85.3308965515547,"Kathmandu, Nepal"
D&D girls hostel,,,,,27.692921537028237,85.33839817087622,"Kathmandu, Nepal"
Kathmandu Boys hostel,,,,,27.692685865531132,85.33862866073095,"Kathmandu, Nepal"
Sagun Boys Hostel,Bhupi Sherchan Marga,"Milan chowk, Mid Baneshwor, Kathamandu",,,27.696715331252634,85.34223578413992,"Kathmandu, Nepal"
Rupandehi Girls Hostel,,,,,27.69304401662467,85.3388198293809,"Kathmandu, Nepal"
Elbrus Home Second Building,,,,,27.72029655119028,85.31231258348099,"Kathmandu, Nepal"
Elbrus Home Main Building,,,,,27.720440306808488,85.31265006666445,"Kathmandu, Nepal"
Taj Girls Hostel,,,,,27.700200405975707,85.3383030064752,"Kathmandu, Nepal"
Hiilton Boys Hostel,,,,,27.694819037782704,85.34214745267234,"Kathmandu, Nepal"
New Pritoria Girls Hostel,Shram Marga,Kathmandu,+977 9846084057,,27.68751284818406,85.32890835023079,"Kathmandu, Nepal"
MEGA BOYS HOSTEL,,,,,27.682220961362013,85.34230797494023,"Kathmandu, Nepal"
Prashanti Girls Hostel,,,,,27.715495754628066,85.34266769449752,"Kathmandu, Nepal"
Heavan Boys Hostel,Sinamangal Road,,,,27.700114433002916,85.3428904496991,"Kathmandu, Nepal"
Omkareshwor Girls Hostel,,,01-4107967,,27.689047919947775,85.34301890557495,"Kathmandu, Nepal"
Mata Pathivara Girls Hostel,,,,,27.69748154393532,85.33809222175431,"Kathmandu, Nepal"
Brotherhood Boys Hostel,shree marga,Kathmandu,984-2416595,,27.69330151891577,85.3512309329972,"Kathmandu, Nepal"
Sanskar Awash Griha Boys hostel,,,,,27.68546315305036,85.34125754677504,"Kathmandu, Nepal"
Sanskar Awash Griha Girls hostel,,,,,27.685216431458862,85.34150693161286,"Kathmandu, Nepal"
Asian Boys Hostel,,,,,27.691547449999998,85.34528845,"Kathmandu, Nepal"
daskinkali boys hostel,,,,,27.69836978618694,85.342492670567,"Kathmandu, Nepal"
Anshu And Asim Girls Hostel,Naya Marg,Kathmandu,,,27.69164594352144,85.33553167472176,"Kathmandu, Nepal"
Raica Boys Hostel Block C,,,,,27.68384377704611,85.33512632345172,"Kathmandu, Nepal"
Raica Boys Hostel Block A,,,,,27.68396871427443,85.33474808994245,"Kathmandu, Nepal"
Kathmandu Girls Hostel,Shree Panchakumari Marg,Kathmandu,,,27.693046583335757,85.33868360001559,"Kathmandu, Nepal"
"Sanarch Girls Home, Block B",,,,,27.683427540611916,85.33511873502718,"Kathmandu, Nepal"
BSET Special Hostel,,,,,27.72692298926194,85.29872243406628,"Kathmandu, Nepal"
Frienship hostel,,,,,27.6743624,85.3078988,"Lalitpur, Nepal"
Caribbean College Boys Hostel,,,,,27.6676324,85.31601,"Lalitpur, Nepal"
Namaste Ladies Hostel,,,,,27.6680586,85.3164844,"Lalitpur, Nepal"
Lotus Hostel,,,,,27.6728739,85.3167712,"Lalitpur, Nepal"
Sarojini Girls Home,,,,,27.6738166,85.3158226,"Lalitpur, Nepal"
suryabinayak boys hostel,,,,,27.687732,85.3172182,"Lalitpur, Nepal"
WhiteHouse Hostel,,,,,27.655908,85.3309951,"Lalitpur, Nepal"
Nepali Travellers Airbnb,,,,,27.6717186,85.3107638,"Lalitpur, Nepal"
Safe Home,,,,,27.6862981,85.3130275,"Lalitpur, Nepal"
Sunshine Boys Hostel,,,,,27.6624904,85.3177076,"Lalitpur, Nepal"
Dynamic Boys Hostel,,,,,27.6865375,85.3122652,"Lalitpur, Nepal"
Pulchowk Campus Boy's Hostel,,,,,27.681802847752973,85.32392573443833,"Lalitpur, Nepal"
Pulchok Campus Girls Hostel,,,,,27.683143659668026,85.32407773779785,"Lalitpur, Nepal"
MSc Hostel,,,,,27.680356591909224,85.31923576049653,"Lalitpur, Nepal"
Pulchok TT-hall,,,,,27.68187943154453,85.32345901944528,"Lalitpur, Nepal"
Sanu House,Ring Road,Patan,+9771 5202212,https://www.homestaynepal.com/,27.66529695,85.33158900000001,"Lalitpur, Nepal"
Pulchok Campus Boy's Hostel Block A,,,,,27.682162397323346,85.3239360050367,"Lalitpur, Nepal"
Pulchok Campus Boy's Hostel,,,,https://www.ioe.edu.np/,27.68142878942153,85.32391883741695,"Lalitpur, Nepal"
sagarmatha boys hostel 2nd building,,,,,27.670324469427005,85.33364421657373,"Lalitpur, Nepal"
Hostel Swastik,,,,,27.6757484,85.4341549,"Bhaktapur, Nepal"
Bhanubhakta Hostel,,,,,27.674493744300893,85.41762797081212,"Bhaktapur, Nepal"
Devkota Hostel,,,,,27.674422218386276,85.4166829175917,"Bhaktapur, Nepal"
Lekhnath Hostel,,,,,27.6746932122786,85.41672332926746,"Bhaktapur, Nepal"
Araniko Hostel,,,,,27.674108642261952,85.41748922275144,"Bhaktapur, Nepal"
Siddhartha Hostel,,,,,27.67115858892782,85.41678750475258,"Bhaktapur, Nepal"
Gehendra Hostel,,,,,27.673899818564838,85.41612574313126,"Bhaktapur, Nepal"
Amarsingh Hostel,,,,,27.673740702584908,85.41669413676519,"Bhaktapur, Nepal"
Balmiki Hostel,,,,,27.67125767127138,85.41604163233029,"Bhaktapur, Nepal"
