id,name,addr:street,addr:city,phone,website,latitude,longitude,source_place,precise_location,hostel_source,verified,gender,monthly_price,room_type,wifi,food,laundry,parking,attached_bathroom,hot_water,study_room,power_backup,cctv,curfew,rating,review_count,description
11,Maa's Boys Hostel,,,,,27.6823916,85.3360187,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,8500,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,3.7,30,"Comfortable student hostel with WiFi, food and study environment."
12,Smarika Girls Hostel,,,,,27.6834129,85.3343727,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,15500,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.0,24,"Comfortable student hostel with WiFi, food and study environment."
13,Siddharth Boys Hostel,,,,,27.6911084,85.3306021,"Kathmandu, Nepal","Buddhnagar, Kathmandu",Real,Yes,,9500,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.9,19,"Comfortable student hostel with WiFi, food and study environment."
14,Everest Girls Hostel,,,,,27.6909151,85.3292006,"Kathmandu, Nepal","Buddhnagar, Kathmandu",Real,Yes,,10000,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,32,"Comfortable student hostel with WiFi, food and study environment."
15,Paradise Girls Hostel,,,,,27.6941737,85.3338319,"Kathmandu, Nepal","Kathmandu-10, Kathmandu",Real,Yes,,10000,Single,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4.4,10,"Comfortable student hostel with WiFi, food and study environment."
16,Unique Girls Hostel,,,,,27.7188548,85.3256329,"Kathmandu, Nepal","Nil Sarsaswati, Kathmandu",Real,Yes,,14500,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4.7,11,"Comfortable student hostel with WiFi, food and study environment."
17,Kantipur Girls Hostel,,,,,27.6911916,85.3411924,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,11000,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,4.0,5,"Comfortable student hostel with WiFi, food and study environment."
18,Safal Boys Hostel,,,,,27.7028306,85.3247662,"Kathmandu, Nepal","Kalikasthan, Kathmandu",Real,Yes,,16000,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.0,18,"Comfortable student hostel with WiFi, food and study environment."
19,Zenith Girls Hostel,,,,,27.7028364,85.3244484,"Kathmandu, Nepal","Kalikasthan, Kathmandu",Real,Yes,,15000,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4.7,35,"Comfortable student hostel with WiFi, food and study environment."
20,Kanya Girls Hostel,,,,,27.6945778,85.3376328,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,16500,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.8,9,"Comfortable student hostel with WiFi, food and study environment."
21,Radhe Krishna Boys Hostel,,,,,27.7100441,85.3376149,"Kathmandu, Nepal","Chabahil, Kathmandu",Real,Yes,,11500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.0,13,"Comfortable student hostel with WiFi, food and study environment."
22,Logo Girls Hostel,,,,,27.7082711,85.3377956,"Kathmandu, Nepal","Chabahil, Kathmandu",Real,Yes,,8500,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,3.7,19,"Comfortable student hostel with WiFi, food and study environment."
23,hostel,Sukubahal Galli,,+9779841787132,http://www.famoushousektm.com,27.7217794,85.3140337,"Kathmandu, Nepal","Lainchaur, Kathmandu",Real,Yes,,10000,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4.0,38,"Comfortable student hostel with WiFi, food and study environment."
24,Hotel Mirchi,,,,,27.7094241,85.3164452,"Kathmandu, Nepal","Kathmandu-01, Kathmandu",Real,Yes,,11500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.9,33,"Comfortable student hostel with WiFi, food and study environment."
25,Lotus Girls Hostel,,,,,27.7006235,85.3286254,"Kathmandu, Nepal","Ghattekulo, Kathmandu",Real,Yes,,10500,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.8,5,"Comfortable student hostel with WiFi, food and study environment."
26,Secret Garden Guesthouse,,,,,27.7152203,85.306707,"Kathmandu, Nepal","Kathmandu-17, Kathmandu",Real,Yes,,12500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.0,5,"Comfortable student hostel with WiFi, food and study environment."
27,Kamakshi Girls Hostel,Kalki Pushpa Marga,,9849091822,,27.6954402,85.3418733,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,9500,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.9,26,"Comfortable student hostel with WiFi, food and study environment."
28,Dormitory Nepal,Gitanjali marg,,+977-01-5161089,https://www.dormnepal.com/,27.7324951,85.3387416,"Kathmandu, Nepal","Chundevi, Kathmandu",Real,Yes,,11500,Single,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,5.0,12,"Comfortable student hostel with WiFi, food and study environment."
29,kasthamandap  travellers  home ,Kaldhara Marg,,+9779813518975,,27.716799,85.3074375,"Kathmandu, Nepal","Nayabazar, Kathmandu",Real,Yes,,7000,Shared,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3.9,32,"Comfortable student hostel with WiFi, food and study environment."
30,Durga girls hostel,,,,,27.6878809,85.3313697,"Kathmandu, Nepal","Buddhnagar, Kathmandu",Real,Yes,,15500,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.5,13,"Comfortable student hostel with WiFi, food and study environment."
31,Andes House,,,,,27.7167237,85.3125162,"Kathmandu, Nepal","Thamel, Kathmandu",Real,Yes,,9000,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4.2,35,"Comfortable student hostel with WiFi, food and study environment."
32,The Happily Ever After Hostel,Thamel Road,Thamel,,,27.7166942,85.3123003,"Kathmandu, Nepal","Thamel, Kathmandu",Real,Yes,,11000,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.4,9,"Comfortable student hostel with WiFi, food and study environment."
33,Dibyadurga boy's hostel,,,,,27.704602,85.3309887,"Kathmandu, Nepal","Maitidevi, Kathmandu",Real,Yes,,7500,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,3.9,19,"Comfortable student hostel with WiFi, food and study environment."
34,Nova Boys Hostel,,,,,27.6845236,85.335204,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,7500,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4.1,29,"Comfortable student hostel with WiFi, food and study environment."
35,Alobar1000,,,,,27.7156191,85.314336,"Kathmandu, Nepal","Thamel, Kathmandu",Real,Yes,,15500,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.7,10,"Comfortable student hostel with WiFi, food and study environment."
36,Peaceful girlls hostel,Rudra Mati Marga,Kathmandu,,,27.6996632,85.3314711,"Kathmandu, Nepal","Sano Gaucharan, Kathmandu",Real,Yes,,11500,Single,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4.1,11,"Comfortable student hostel with WiFi, food and study environment."
37,Yakety Yak Hostel,Jyatha Street,,+97714266126,https://www.yaketyyakhostel.com/,27.7133876,85.31238,"Kathmandu, Nepal","Kathmandu-26, Kathmandu",Real,Yes,,9000,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3.7,11,"Comfortable student hostel with WiFi, food and study environment."
38,Yeti Hostel,,,,,27.7147676,85.3115462,"Kathmandu, Nepal","Thamel, Kathmandu",Real,Yes,,17000,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.3,25,"Comfortable student hostel with WiFi, food and study environment."
39,Rambler hostel,,,,,27.7122545,85.3087259,"Kathmandu, Nepal","Kathmandu-17, Kathmandu",Real,Yes,,14500,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,4.4,28,"Comfortable student hostel with WiFi, food and study environment."
40,Fat Farm Hostel & Kitchen,Jyatha Street,,+9779860180990,,27.7106369,85.3130796,"Kathmandu, Nepal","Kamalakshi, Kathmandu",Real,Yes,,8500,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,4.3,24,"Comfortable student hostel with WiFi, food and study environment."
41,Kamakshi Girl's Hostel,,,,,27.6931566,85.3442189,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,7000,Single,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4.5,13,"Comfortable student hostel with WiFi, food and study environment."
42,Kabeli Girls Hostel,,,,,27.7019365,85.3371432,"Kathmandu, Nepal","Kathmandu-10, Kathmandu",Real,Yes,,16000,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.3,29,"Comfortable student hostel with WiFi, food and study environment."
43,Kathmandu Youth Hostel,,,,,27.7214452,85.3136846,"Kathmandu, Nepal","Lainchaur, Kathmandu",Real,Yes,,11500,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4.9,13,"Comfortable student hostel with WiFi, food and study environment."
44,K Hostel,,,,,27.7159784,85.3129389,"Kathmandu, Nepal","Thamel, Kathmandu",Real,Yes,,14500,Single,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.2,14,"Comfortable student hostel with WiFi, food and study environment."
45,Rosemary Hostel,Tahiti,,+9779841959517,https://www.rosemaryhostels.com/,27.7107743,85.3110553,"Kathmandu, Nepal","Kathmandu-26, Kathmandu",Real,Yes,,14500,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,4.6,9,"Comfortable student hostel with WiFi, food and study environment."
46,8848 Hostel,,,,,27.7106834,85.3110574,"Kathmandu, Nepal","Kathmandu-26, Kathmandu",Real,Yes,,14000,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.2,38,"Comfortable student hostel with WiFi, food and study environment."
47,Kastamandap Boys Hostel,,,,,27.6846361,85.3297095,"Kathmandu, Nepal","Buddhnagar, Kathmandu",Real,Yes,,12000,Single,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.9,5,"Comfortable student hostel with WiFi, food and study environment."
48,Om Kathmandu Boys Hostel,,,980-7077799,,27.6828455,85.3367689,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,9500,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,4.5,15,"Comfortable student hostel with WiFi, food and study environment."
49,Ujwalo Sikshya Girls Hostel,,,,,27.7165827,85.3489471,"Kathmandu, Nepal","Chabahil, Kathmandu",Real,Yes,,7500,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.7,33,"Comfortable student hostel with WiFi, food and study environment."
50,Aruna Girls Hostel,,,,,27.7017602,85.3218581,"Kathmandu, Nepal","Baghbazar, Kathmandu",Real,Yes,,11000,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4.7,27,"Comfortable student hostel with WiFi, food and study environment."
51,Nepal Boys Hostel,,,014111533,,27.6834092,85.3444008,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,14500,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4.1,18,"Comfortable student hostel with WiFi, food and study environment."
52,Memorial Girls Hostel,,Kathmandu,,,27.6961191,85.329452,"Kathmandu, Nepal","Kathmandu-10, Kathmandu",Real,Yes,,8500,Single,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.2,14,"Comfortable student hostel with WiFi, food and study environment."
53,Hamro Niwas Boys Hostel,,,015104514,,27.6827828,85.3424724,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,8000,Single,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.5,31,"Comfortable student hostel with WiFi, food and study environment."
54,Dreams Boys Hostel,,,,,27.6818969,85.3403464,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,13000,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3.9,33,"Comfortable student hostel with WiFi, food and study environment."
55,Study Boys Hostel,,,,,27.6752791,85.3396525,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,14500,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4.5,18,"Comfortable student hostel with WiFi, food and study environment."
56,Global Boys Hostel,,,,,27.6837233,85.3434637,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,8000,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.6,10,"Comfortable student hostel with WiFi, food and study environment."
57,Triton Girls Hostel,,,,,27.6828002,85.3438558,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,16000,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.7,11,"Comfortable student hostel with WiFi, food and study environment."
58,Om Girls Hostel,,,,,27.6842699,85.3440833,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,17000,Single,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,3.6,13,"Comfortable student hostel with WiFi, food and study environment."
59,Maa Durga Girls Hostel,,,,,27.6841484,85.3447888,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,17500,Single,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.0,12,"Comfortable student hostel with WiFi, food and study environment."
60,Manya Girls Hostel,,,,,27.6849848,85.3445219,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,7500,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4.2,29,"Comfortable student hostel with WiFi, food and study environment."
61,Aadhya Girls Hostel,,,,,27.6850877,85.3445308,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,9000,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,4.1,27,"Comfortable student hostel with WiFi, food and study environment."
62,Sajha Boys Hostel,,,,,27.683332,85.3485731,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,9000,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4.3,32,"Comfortable student hostel with WiFi, food and study environment."
63,Om Mahalaxmi Boys Hostel,,,,,27.6853475,85.346078,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,16000,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,4.9,25,"Comfortable student hostel with WiFi, food and study environment."
64,Gravity Boys Hostel,,,,,27.6850417,85.3465679,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,11500,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,4.5,13,"Comfortable student hostel with WiFi, food and study environment."
65,Miracle Boys Hostel,,,,,27.6848992,85.346811,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,8000,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,4.3,20,"Comfortable student hostel with WiFi, food and study environment."
66,Shree Laxmi Girls Hostel,,,,,27.6845296,85.3456197,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,10500,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.7,22,"Comfortable student hostel with WiFi, food and study environment."
67,Subhida Girls Hostel,,,0141111578,,27.6850739,85.3454484,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,8500,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,4.0,10,"Comfortable student hostel with WiFi, food and study environment."
68,Sanima Girls Hostel,,,,,27.6743045,85.3418041,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,15500,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,4.8,20,"Comfortable student hostel with WiFi, food and study environment."
69,Maa Pathivara Boys Hostel,,,,,27.6757376,85.3439978,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,13500,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.3,40,"Comfortable student hostel with WiFi, food and study environment."
70,Sanjivani Boys Hostel,,,014601152,,27.6781699,85.3417031,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,16500,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4.5,23,"Comfortable student hostel with WiFi, food and study environment."
71,Ananda Bhumi Hostel,,,,,27.6804211,85.3454149,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,16500,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.6,6,"Comfortable student hostel with WiFi, food and study environment."
72,Aaha Boys Hostel,,,,,27.6809087,85.3399586,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,16500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.7,24,"Comfortable student hostel with WiFi, food and study environment."
73,Sarlahi Boys Hostel,,,015908202,,27.6815789,85.3405492,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,10500,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,4.5,18,"Comfortable student hostel with WiFi, food and study environment."
74,Adriz Boys Home,,,,,27.6816664,85.3418485,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,15000,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4.0,38,"Comfortable student hostel with WiFi, food and study environment."
75,Apuls Boys Hostel,,,,,27.6814032,85.3449915,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,13000,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4.5,37,"Comfortable student hostel with WiFi, food and study environment."
76,Arigato Boys Hostel,,,,,27.6808082,85.345156,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,14000,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3.6,17,"Comfortable student hostel with WiFi, food and study environment."
77,Paris Boys Hotel,,,,,27.6817485,85.3464158,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,14000,Single,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,5.0,30,"Comfortable student hostel with WiFi, food and study environment."
78,The Nayak Boys Hostel,,,,,27.6798118,85.3468913,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,11500,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.5,23,"Comfortable student hostel with WiFi, food and study environment."
79,Boys Hostel,,,,,27.6802724,85.3486136,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,16000,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4.1,8,"Comfortable student hostel with WiFi, food and study environment."
80,Himalayan Boys Hostel,,,,,27.6817519,85.347461,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,13500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.6,20,"Comfortable student hostel with WiFi, food and study environment."
81,Greatwall Boys Hostel,,,,,27.682734,85.348647,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,11500,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.9,36,"Comfortable student hostel with WiFi, food and study environment."
82,Family Girls Hostel,,,,,27.6825094,85.34709,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,16000,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4.1,29,"Comfortable student hostel with WiFi, food and study environment."
83,Aimers Boys Hostel,,,,,27.6836716,85.3471164,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,16500,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3.5,12,"Comfortable student hostel with WiFi, food and study environment."
84,Sambriddhi Boys Hostel,,,,,27.6850936,85.3461127,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,7500,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3.9,20,"Comfortable student hostel with WiFi, food and study environment."
85,Unique Boys Hostel,,,,,27.6846848,85.3451907,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,16500,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4.3,36,"Comfortable student hostel with WiFi, food and study environment."
86,Subhasi Boys Hostel,,,,,27.6847045,85.3454509,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,8500,Shared,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,4.3,9,"Comfortable student hostel with WiFi, food and study environment."
87,Maitighar Girls Hostel,,,,,27.6847766,85.3456735,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,10000,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,4.4,38,"Comfortable student hostel with WiFi, food and study environment."
88,Aayan Boys Hostel,,,,,27.6852942,85.3455741,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,17000,Shared,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4.4,5,"Comfortable student hostel with WiFi, food and study environment."
89,Marigold Boys Hostel,,,,,27.6811538,85.3435236,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,10000,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4.2,28,"Comfortable student hostel with WiFi, food and study environment."
90,Trekkers Hostel,,,,,27.7130038,85.3092833,"Kathmandu, Nepal","Kathmandu-16, Kathmandu",Real,Yes,,11000,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4.1,25,"Comfortable student hostel with WiFi, food and study environment."
91,Divine Home Girls Hostel,,,,,27.675453,85.3396712,"Kathmandu, Nepal",Unknown,Real,Yes,,17500,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.7,13,"Comfortable student hostel with WiFi, food and study environment."
92,Family Boys Hostel,,,,,27.6742526,85.3417365,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,8000,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4.4,29,"Comfortable student hostel with WiFi, food and study environment."
93,Divine Boys Hostel,,,,,27.6743288,85.3416164,"Kathmandu, Nepal",Unknown,Real,Yes,,9500,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.3,31,"Comfortable student hostel with WiFi, food and study environment."
94,Om Shivanandi Boys Hostel,,,,,27.6777447,85.3430175,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,10500,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4.0,28,"Comfortable student hostel with WiFi, food and study environment."
95,Koteshwor Boys Hostel,,,,,27.6776332,85.3431803,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,9500,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.5,39,"Comfortable student hostel with WiFi, food and study environment."
96,Greenland Family Boys Hostel,,,,,27.6813051,85.3449604,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,15500,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.7,16,"Comfortable student hostel with WiFi, food and study environment."
97,Alert Boys Hostel,,,,,27.6811486,85.3449891,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,8000,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4.1,35,"Comfortable student hostel with WiFi, food and study environment."
98,Koteshwor Youth Hostel,,,,,27.6802179,85.3484551,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,9500,Single,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.9,9,"Comfortable student hostel with WiFi, food and study environment."
99,Beehive Hostel,,,,,27.7182151,85.3081648,"Kathmandu, Nepal","Nayabazar, Kathmandu",Real,Yes,,7000,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,3.7,6,"Comfortable student hostel with WiFi, food and study environment."
