name,addr:street,addr:city,phone,website,latitude,longitude,source_place,precise_location
Adriz Boys Home,,,,,27.6816664,85.3418485,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Apuls Boys Hostel,,,,,27.6814032,85.3449915,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Arigato Boys Hostel,,,,,27.6808082,85.345156,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Paris Boys Hotel,,,,,27.6817485,85.3464158,"Kathmandu, Nepal","Koteshwar, Kathmandu"
The Nayak Boys Hostel,,,,,27.6798118,85.3468913,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Boys Hostel,,,,,27.6802724,85.3486136,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Himalayan Boys Hostel,,,,,27.6817519,85.347461,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Greatwall Boys Hostel,,,,,27.682734,85.348647,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Family Girls Hostel,,,,,27.6825094,85.34709,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Aimers Boys Hostel,,,,,27.6836716,85.3471164,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Sambriddhi Boys Hostel,,,,,27.6850936,85.3461127,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Unique Boys Hostel,,,,,27.6846848,85.3451907,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Subhasi Boys Hostel,,,,,27.6847045,85.3454509,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Maitighar Girls Hostel,,,,,27.6847766,85.3456735,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Aayan Boys Hostel,,,,,27.6852942,85.3455741,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Marigold Boys Hostel,,,,,27.6811538,85.3435236,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Trekkers Hostel,,,,,27.7130038,85.3092833,"Kathmandu, Nepal","Kathmandu-16, Kathmandu"
Divine Home Girls Hostel,,,,,27.675453,85.3396712,"Kathmandu, Nepal",Unknown
Family Boys Hostel,,,,,27.6742526,85.3417365,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Divine Boys Hostel,,,,,27.6743288,85.3416164,"Kathmandu, Nepal",Unknown
Om Shivanandi Boys Hostel,,,,,27.6777447,85.3430175,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Koteshwor Boys Hostel,,,,,27.6776332,85.3431803,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Greenland Family Boys Hostel,,,,,27.6813051,85.3449604,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Alert Boys Hostel,,,,,27.6811486,85.3449891,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Koteshwor Youth Hostel,,,,,27.6802179,85.3484551,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Beehive Hostel,,,,,27.7182151,85.3081648,"Kathmandu, Nepal","Nayabazar, Kathmandu"
Sathi Girls Hostel,,,9844064720,,27.6883989,85.3262438,"Kathmandu, Nepal","Babarmahal, Kathmandu"
Hello KTM Hostel,,,+9779843093645,https://www.helloktmhostel.com/,27.7156606,85.3057487,"Kathmandu, Nepal","Kathmandu-16, Kathmandu"
New Buddha Boy's Hostel,,,,,27.719372,85.348157,"Kathmandu, Nepal","Chabahil, Kathmandu"
Everest Hostel,,,,,27.7075622,85.3248054,"Kathmandu, Nepal","Kamalpokhari, Kathmandu"
Chanakya Hostel,,,,,27.7075443,85.3245184,"Kathmandu, Nepal","Kamalpokhari, Kathmandu"
Antique Hostel,,,,,27.7130133,85.3091872,"Kathmandu, Nepal","Kathmandu-16, Kathmandu"
Ananda Boys Hostel,,,,,27.6810331,85.333958,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Raica Boys Hostel Block B,,,,,27.6839548,85.3350168,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Skyline girls hostle,,,,,27.6883561,85.3316672,"Kathmandu, Nepal","Buddhnagar, Kathmandu"
Daju Bhai Boys Hostel,,,,,27.7044703,85.3345335,"Kathmandu, Nepal","Maitidevi, Kathmandu"
Gelos Boys Hostel,,,,,27.6859554647588,85.33343932641068,"Kathmandu, Nepal","Buddhnagar, Kathmandu"
Lumbini Boys Hostel,,,,,27.692063721557247,85.32948800181964,"Kathmandu, Nepal","Kathmandu-10, Kathmandu"
Bharitya Gorkha Sainik Niwas,,,,,27.717955032738352,85.31066340794273,"Kathmandu, Nepal","Nayabazar, Kathmandu"
Siddhartha Boys Hostel,,,,,27.68565268290747,85.3308965515547,"Kathmandu, Nepal","Buddhnagar, Kathmandu"
D&D girls hostel,,,,,27.69292153702824,85.33839817087622,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Kathmandu Boys hostel,,,,,27.69268586553113,85.33862866073095,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Sagun Boys Hostel,Bhupi Sherchan Marga,"Milan chowk, Mid Baneshwor, Kathamandu",,,27.696715331252637,85.34223578413992,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Rupandehi Girls Hostel,,,,,27.69304401662467,85.3388198293809,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Elbrus Home Second Building,,,,,27.72029655119028,85.31231258348099,"Kathmandu, Nepal","Nayabazar, Kathmandu"
Elbrus Home Main Building,,,,,27.720440306808488,85.31265006666445,"Kathmandu, Nepal","Samakhushi, Kathmandu"
Taj Girls Hostel,,,,,27.700200405975707,85.3383030064752,"Kathmandu, Nepal","Kathmandu-10, Kathmandu"
Hiilton Boys Hostel,,,,,27.694819037782704,85.34214745267234,"Kathmandu, Nepal","Baneshwar, Kathmandu"
New Pritoria Girls Hostel,Shram Marga,Kathmandu,+977 9846084057,,27.68751284818406,85.32890835023079,"Kathmandu, Nepal","Buddhnagar, Kathmandu"
MEGA BOYS HOSTEL,,,,,27.682220961362013,85.34230797494023,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Prashanti Girls Hostel,,,,,27.715495754628066,85.34266769449752,"Kathmandu, Nepal","Chabahil, Kathmandu"
Heavan Boys Hostel,Sinamangal Road,,,,27.70011443300292,85.3428904496991,"Kathmandu, Nepal","Sinamangal, Kathmandu"
Omkareshwor Girls Hostel,,,01-4107967,,27.68904791994777,85.34301890557495,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Mata Pathivara Girls Hostel,,,,,27.69748154393532,85.33809222175431,"Kathmandu, Nepal","Kathmandu-10, Kathmandu"
Brotherhood Boys Hostel,shree marga,Kathmandu,984-2416595,,27.69330151891577,85.3512309329972,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Sanskar Awash Griha Boys hostel,,,,,27.68546315305036,85.34125754677504,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Sanskar Awash Griha Girls hostel,,,,,27.685216431458866,85.34150693161286,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Asian Boys Hostel,,,,,27.69154745,85.34528845,"Kathmandu, Nepal","Baneshwar, Kathmandu"
daskinkali boys hostel,,,,,27.69836978618694,85.342492670567,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Anshu And Asim Girls Hostel,Naya Marg,Kathmandu,,,27.69164594352144,85.33553167472176,"Kathmandu, Nepal","Kathmandu-10, Kathmandu"
Raica Boys Hostel Block C,,,,,27.68384377704611,85.33512632345172,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Raica Boys Hostel Block A,,,,,27.68396871427443,85.33474808994245,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Kathmandu Girls Hostel,Shree Panchakumari Marg,Kathmandu,,,27.69304658333576,85.33868360001559,"Kathmandu, Nepal","Baneshwar, Kathmandu"
"Sanarch Girls Home, Block B",,,,,27.68342754061192,85.33511873502718,"Kathmandu, Nepal","Baneshwar, Kathmandu"
BSET Special Hostel,,,,,27.72692298926194,85.29872243406628,"Kathmandu, Nepal","Banasthali, Kathmandu"
Frienship hostel,,,,,27.6743624,85.3078988,"Lalitpur, Nepal","Dhobighat, Lalitpur"
Caribbean College Boys Hostel,,,,,27.6676324,85.31601,"Lalitpur, Nepal","Jawalakhel, Lalitpur"
Namaste Ladies Hostel,,,,,27.6680586,85.3164844,"Lalitpur, Nepal","Jawalakhel, Lalitpur"
Lotus Hostel,,,,,27.6728739,85.3167712,"Lalitpur, Nepal","Lalitpur-20, Lalitpur"
Sarojini Girls Home,,,,,27.6738166,85.3158226,"Lalitpur, Nepal","Lalitpur-04, Lalitpur"
suryabinayak boys hostel,,,,,27.687732,85.3172182,"Lalitpur, Nepal","Kupondole, Lalitpur"
WhiteHouse Hostel,,,,,27.655908,85.3309951,"Lalitpur, Nepal","Khumaltar, Lalitpur"
Nepali Travellers Airbnb,,,,,27.6717186,85.3107638,"Lalitpur, Nepal","Dhobighat, Lalitpur"
Safe Home,,,,,27.6862981,85.3130275,"Lalitpur, Nepal","Sanepa, Lalitpur"
Sunshine Boys Hostel,,,,,27.6624904,85.3177076,"Lalitpur, Nepal","Ekantakuna, Lalitpur"
Dynamic Boys Hostel,,,,,27.6865375,85.3122652,"Lalitpur, Nepal","Sanepa, Lalitpur"
Pulchowk Campus Boy's Hostel,,,,,27.681802847752973,85.32392573443833,"Lalitpur, Nepal","Lalitpur-10, Lalitpur"
Pulchok Campus Girls Hostel,,,,,27.683143659668023,85.32407773779785,"Lalitpur, Nepal","Kupondole, Lalitpur"
MSc Hostel,,,,,27.680356591909224,85.31923576049653,"Lalitpur, Nepal","Lalitpur-10, Lalitpur"
Pulchok TT-hall,,,,,27.68187943154453,85.32345901944528,"Lalitpur, Nepal","Kupondole, Lalitpur"
Sanu House,Ring Road,Patan,+9771 5202212,https://www.homestaynepal.com/,27.66529695,85.33158900000001,"Lalitpur, Nepal","Lalitpur-17, Lalitpur"
Pulchok Campus Boy's Hostel Block A,,,,,27.682162397323346,85.3239360050367,"Lalitpur, Nepal","Lalitpur-10, Lalitpur"
Pulchok Campus Boy's Hostel,,,,https://www.ioe.edu.np/,27.68142878942153,85.32391883741695,"Lalitpur, Nepal","Lalitpur-10, Lalitpur"
sagarmatha boys hostel 2nd building,,,,,27.670324469427005,85.33364421657373,"Lalitpur, Nepal","Guita, Lalitpur"
Hostel Swastik,,,,,27.6757484,85.4341549,"Bhaktapur, Nepal","Kamal Binayak, Bhaktapur"
Bhanubhakta Hostel,,,,,27.674493744300893,85.41762797081212,"Bhaktapur, Nepal","Itachhen, Bhaktapur"
Devkota Hostel,,,,,27.67442221838628,85.4166829175917,"Bhaktapur, Nepal","Itachhen, Bhaktapur"
Lekhnath Hostel,,,,,27.6746932122786,85.41672332926746,"Bhaktapur, Nepal","Itachhen, Bhaktapur"
Araniko Hostel,,,,,27.674108642261952,85.41748922275144,"Bhaktapur, Nepal","Itachhen, Bhaktapur"
Siddhartha Hostel,,,,,27.67115858892782,85.41678750475258,"Bhaktapur, Nepal","Bhaktapur-01, Bhaktapur"
Gehendra Hostel,,,,,27.67389981856484,85.41612574313126,"Bhaktapur, Nepal","Itachhen, Bhaktapur"
Amarsingh Hostel,,,,,27.673740702584908,85.41669413676519,"Bhaktapur, Nepal","Itachhen, Bhaktapur"
Balmiki Hostel,,,,,27.67125767127138,85.41604163233029,"Bhaktapur, Nepal","Bhaktapur-01, Bhaktapur"
